tag,genus,species,division,updated,treeID,XTOP,YTOP,ZTOP,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,itot,imax,imean,isd,iskew,ikurt,ipground,ipcumzq10,ipcumzq30,ipcumzq50,ipcumzq70,ipcumzq90,p1th,p2th,p3th,p4th,p5th,pground,n,area
9153,Magnolia,soulangeana,Broadleaf,2010-03-16,1669,481104.12,5456880.29,8.46,8.46,4.603630393996248,2.298454277570044,-0.722838921167278,2.724283051070243,0.8837319248265277,55.1594746716698,85.55347091932458,0,0,2.4550000000000005,3.23,3.5500000000000003,3.855,4.07,4.34,4.6225,4.94,5.28,5.55,5.79,6.115000000000002,6.3500000000000005,6.6000000000000005,6.890000000000001,7.230000000000002,7.7075,13.802816901408452,14.460093896713616,15.305164319248828,22.62910798122066,37.93427230046949,51.54929577464789,66.94835680751174,83.5680751173709,93.9906103286385,833254,1441,781.6641651031895,238.97964981251764,-0.8619049982765481,3.8080457519794715,12.974435166227824,12.974435166227824,29.784915523957885,49.4249052509799,68.53504453623985,88.97215014869415,83.20825515947467,15.572232645403378,1.2195121951219512,0,0,11.819887429643527,1066,77.13439999734462
9397,Pseudotsuga,menziesii,Coniferous,2010-03-16,71,481063.93,5456997.850000001,29.3,29.3,17.11164368327402,7.8309748220554525,-1.1058381047922476,2.91674755526457,0.8649066858039383,68.08274021352312,89.61298932384342,0.0675,1.835,5.602500000000001,10.34,13.99,16.415,17.740000000000002,18.76,19.47,20.06,20.73,21.240000000000002,21.71,22.2,22.75,23.19,23.7,24.28,25.080000000000002,12.769744160177975,15.172413793103448,17.39710789766407,22.202447163515018,26.20689655172414,34.06006674082314,53.437152391546164,82.4916573971079,99.2880978865406,2830979,1431,629.6661476868327,273.4852491635531,-0.16429530235830542,2.346118929333563,5.790858921948909,12.598150675084485,28.986968818913883,47.17371623032174,66.84535632373112,88.1042918368522,66.70373665480427,27.001779359430607,5.315836298932385,0.8896797153024912,0.0889679715302491,4.759786476868327,4496,127.60020000707377
9396,Pseudotsuga,menziesii,Coniferous,2010-03-16,71,481063.93,5456997.850000001,29.3,29.3,17.11164368327402,7.8309748220554525,-1.1058381047922476,2.91674755526457,0.8649066858039383,68.08274021352312,89.61298932384342,0.0675,1.835,5.602500000000001,10.34,13.99,16.415,17.740000000000002,18.76,19.47,20.06,20.73,21.240000000000002,21.71,22.2,22.75,23.19,23.7,24.28,25.080000000000002,12.769744160177975,15.172413793103448,17.39710789766407,22.202447163515018,26.20689655172414,34.06006674082314,53.437152391546164,82.4916573971079,99.2880978865406,2830979,1431,629.6661476868327,273.4852491635531,-0.16429530235830542,2.346118929333563,5.790858921948909,12.598150675084485,28.986968818913883,47.17371623032174,66.84535632373112,88.1042918368522,66.70373665480427,27.001779359430607,5.315836298932385,0.8896797153024912,0.0889679715302491,4.759786476868327,4496,127.60020000707377
9159,Pseudotsuga,menziesii,Coniferous,2010-03-16,822,481074.87,5456935.59,14.530000000000001,14.530000000000001,7.589967974379504,2.931135603901791,-0.497696574779093,3.6214970554718993,0.874120636514304,52.68214571657326,94.87590072057645,1.8240000000000012,3.6940000000000004,4.852,5.896,6.37,6.71,6.968,7.202000000000001,7.44,7.74,7.984000000000002,8.2,8.55,8.956000000000001,9.370000000000001,9.724,10.23,11.262000000000002,12.44,4.967948717948718,7.371794871794872,12.17948717948718,19.310897435897438,41.34615384615385,67.38782051282051,84.77564102564102,91.74679487179488,97.35576923076923,813346,1217,651.1977582065653,236.67175444895128,-0.5863630853824581,2.673295131186407,3.4805605486471927,9.740135194615823,29.826666633880293,51.922674974733994,73.28369476213076,91.4377153142697,76.78142514011209,21.136909527622098,2.00160128102482,0.08006405124099279,0,4.00320256204964,1249,71.74020000161622
9160,Pseudotsuga,menziesii,Coniferous,2010-03-16,856,481078.23,5456932.19,15.11,15.11,7.928821892393321,3.5388838348375864,-0.5083519871159703,3.0436243653355635,0.8929973988426306,51.76252319109462,92.39332096474953,0,2.4240000000000004,4.306500000000001,5.904,6.5125,6.87,7.17,7.51,7.7700000000000005,8.024999999999999,8.4635,8.76,9.120500000000003,9.65,10.11,10.902000000000001,11.694500000000001,12.413000000000002,13.35,7.242339832869081,11.606313834726091,15.41318477251625,20.98421541318477,40.66852367688022,64.43825441039925,78.55153203342618,87.2794800371402,95.72887650882079,672523,1146,623.8617810760668,214.9194844063979,-0.7020325848058131,2.9148774790267,6.232054517094583,9.271801856590777,29.115732844824638,50.981602116210155,71.78326986586332,90.62797852266763,78.29313543599258,20.037105751391465,1.4842300556586272,0.1855287569573284,0,6.8645640074211505,1078,69.09209999812322
9375,Pseudotsuga,menziesii,Coniferous,2010-03-16,871,481051.56,5456931.57,23.7,23.7,12.705653395784543,5.0045383040953535,-0.1276508960703346,2.775811999302627,0.8936338504318104,43.44262295081967,96.90866510538642,4.9245,7.37,8.39,8.99,9.5025,9.98,10.450000000000001,10.870000000000001,11.21,11.67,12.44,13.290000000000001,15.23,16.023000000000003,16.94,17.962000000000003,18.740000000000002,19.19,20.5,3.115483719840712,4.7317873038182245,9.112204263293512,24.85359568985711,51.37034434293746,63.38721011946591,73.67064886390256,87.72546263762005,96.62684469430779,3090985,1332,723.884074941452,276.8816329313712,-0.5484417329391029,2.527824247917076,2.4439458619178027,6.985087278003614,27.775029642654363,50.014186416304184,69.44902676654853,89.92715914182696,72.8337236533958,22.81030444964871,3.700234192037471,0.6088992974238876,0.046838407494145196,2.9039812646370025,4270,107.07070000191226
9376,Pseudotsuga,menziesii,Coniferous,2010-03-16,871,481051.56,5456931.57,23.7,23.7,12.705653395784543,5.0045383040953535,-0.1276508960703346,2.775811999302627,0.8936338504318104,43.44262295081967,96.90866510538642,4.9245,7.37,8.39,8.99,9.5025,9.98,10.450000000000001,10.870000000000001,11.21,11.67,12.44,13.290000000000001,15.23,16.023000000000003,16.94,17.962000000000003,18.740000000000002,19.19,20.5,3.115483719840712,4.7317873038182245,9.112204263293512,24.85359568985711,51.37034434293746,63.38721011946591,73.67064886390256,87.72546263762005,96.62684469430779,3090985,1332,723.884074941452,276.8816329313712,-0.5484417329391029,2.527824247917076,2.4439458619178027,6.985087278003614,27.775029642654363,50.014186416304184,69.44902676654853,89.92715914182696,72.8337236533958,22.81030444964871,3.700234192037471,0.6088992974238876,0.046838407494145196,2.9039812646370025,4270,107.07070000191226
9377,Pseudotsuga,menziesii,Coniferous,2010-03-16,871,481051.56,5456931.57,23.7,23.7,12.705653395784543,5.0045383040953535,-0.1276508960703346,2.775811999302627,0.8936338504318104,43.44262295081967,96.90866510538642,4.9245,7.37,8.39,8.99,9.5025,9.98,10.450000000000001,10.870000000000001,11.21,11.67,12.44,13.290000000000001,15.23,16.023000000000003,16.94,17.962000000000003,18.740000000000002,19.19,20.5,3.115483719840712,4.7317873038182245,9.112204263293512,24.85359568985711,51.37034434293746,63.38721011946591,73.67064886390256,87.72546263762005,96.62684469430779,3090985,1332,723.884074941452,276.8816329313712,-0.5484417329391029,2.527824247917076,2.4439458619178027,6.985087278003614,27.775029642654363,50.014186416304184,69.44902676654853,89.92715914182696,72.8337236533958,22.81030444964871,3.700234192037471,0.6088992974238876,0.046838407494145196,2.9039812646370025,4270,107.07070000191226
9379,Pseudotsuga,menziesii,Coniferous,2010-03-16,736,481055.2,5456941.78,29.41,29.41,14.532034473752939,7.546822472291125,-0.40763713292276643,2.3829252698731853,0.9085617651892275,50.37868895272916,88.56098197962915,0,0,7.09,9.06,9.84,10.72,11.8,12.862,13.776000000000002,14.69,16.094,17.298000000000002,18.67200000000001,19.96,20.76000000000001,21.66,22.834000000000007,23.84,25.1,11.572622779519332,13.192267502612331,18.782654127481713,34.87460815047022,50.02612330198537,61.54649947753396,74.00731452455591,87.643678160919535,97.62277951933125,2948769,1520,770.1146513449987,271.33185033512956,-0.6096092519164273,3.0603031470902096,12.570092808219293,12.570092808219293,31.368852561865644,51.284451240500694,69.85525146255947,90.0770796220389,78.06215722120659,18.568816923478714,2.8466962653434313,0.47009663097414467,0.05223295899712719,10.733873073909637,3829,129.6701999950411
9380,Pseudotsuga,menziesii,Coniferous,2010-03-16,736,481055.2,5456941.78,29.41,29.41,14.532034473752939,7.546822472291125,-0.40763713292276643,2.3829252698731853,0.9085617651892275,50.37868895272916,88.56098197962915,0,0,7.09,9.06,9.84,10.72,11.8,12.862,13.776000000000002,14.69,16.094,17.298000000000002,18.67200000000001,19.96,20.76000000000001,21.66,22.834000000000007,23.84,25.1,11.572622779519332,13.192267502612331,18.782654127481713,34.87460815047022,50.02612330198537,61.54649947753396,74.00731452455591,87.643678160919535,97.62277951933125,2948769,1520,770.1146513449987,271.33185033512956,-0.6096092519164273,3.0603031470902096,12.570092808219293,12.570092808219293,31.368852561865644,51.284451240500694,69.85525146255947,90.0770796220389,78.06215722120659,18.568816923478714,2.8466962653434313,0.47009663097414467,0.05223295899712719,10.733873073909637,3829,129.6701999950411
